,ticker,losses,gains
0,PRFT,0,3
1,DGX,1,0
2,SWK,10,4
3,TPR,0,2
4,SABR,3,2
5,OKE,0,3
6,CHCT,1,2
7,BEN,0,1
8,AXP,3,3
9,SANM,2,5
10,EXR,2,3
11,MKFG,2,0
12,RSG,0,1
13,IEX,0,2
14,AWR,0,1
15,CTLT,3,1
16,HCCI,1,1
17,JHG,2,3
18,MOH,2,1
19,CPK,1,1
20,JCI,5,5
21,ASGN,2,2
22,FNB,1,3
23,RCII,4,2
24,APLE,1,2
25,PM,1,4
26,GPI,1,1
27,BC,3,3
28,NI,1,2
29,HLTH,2,5
30,SNV,0,3
31,CVNA,4,3
32,LII,0,1
33,SUI,3,4
34,DFIN,1,2
35,LLY,0,1
36,VCTR,4,1
37,DLTR,0,1
38,SYF,3,3
39,NNN,2,3
40,ALLY,5,1
41,BSY,3,4
42,ESNT,4,0
43,JWN,5,3
44,VLY,2,3
45,HSII,3,0
46,GPN,5,7
47,WM,0,1
48,LXP,4,1
49,MAR,2,5
50,BLK,2,3
51,J,0,1
52,A,4,8
53,UNH,0,1
54,ARW,6,4
55,RRC,0,2
56,BKI,1,5
57,NUE,3,3
58,CNO,3,3
59,HTGC,3,2
60,CTAS,0,1
61,AXL,4,2
62,CSX,2,2
63,SNBR,3,1
64,RMD,6,1
65,WST,1,3
66,ELS,0,1
67,FELE,1,5
68,BLD,2,5
69,UMPQ,2,4
70,RE,1,2
71,WRK,1,3
72,IPG,2,4
73,TPH,1,5
74,HII,0,1
75,TREX,4,3
76,WK,4,3
77,SGRY,7,6
78,PNC,5,4
79,ATGE,2,2
80,OTTR,0,1
81,HPE,2,4
82,URI,0,2
